customer_id,customer_name,first_order_date,registration_date,city,gender,age_group,registration_source,is_newsletter_subscriber,total_orders,total_revenue,last_order_date
CUST-00001,Hande Uçar,2024-02-09,2024-01-26,Istanbul,F,35-44,Paid Social,False,0,0.0,
CUST-00002,Koray Yılmaz,2024-06-13,2024-06-11,Manisa,M,25-34,Paid Social,True,1,7385.0,2024-10-02
CUST-00003,Batuhan Tekin,2024-02-10,2024-02-01,Istanbul,M,18-24,Organic Search,False,4,15281.0,2025-02-15
CUST-00004,Nilüfer Özkan,2024-12-01,2024-11-23,Izmir,F,35-44,Paid Social,True,9,43497.0,2025-03-26
CUST-00005,Deniz Yıldız,2024-05-11,2024-05-03,Elazig,M,55+,Organic Search,False,7,35435.0,2025-03-22
CUST-00006,Yusuf Sönmez,2024-08-06,2024-07-24,Istanbul,M,25-34,Email,False,4,15861.0,2025-03-13
CUST-00007,Yusuf Başar,2025-01-02,2024-12-22,Istanbul,M,18-24,Organic Search,False,3,21134.0,2025-01-23
CUST-00008,Şeyma Taş,2024-10-09,2024-09-26,Istanbul,F,35-44,Organic Search,True,3,9945.0,2025-01-30
CUST-00009,Rana Öztürk,2024-01-23,2024-01-11,Izmir,F,25-34,Organic Search,True,1,8797.0,2025-03-26
CUST-00010,Tuncay Kaplan,2024-09-12,2024-09-12,Bursa,M,25-34,Paid Social,False,0,0.0,
CUST-00011,Fatih Ergin,2024-12-07,2024-12-04,Istanbul,M,35-44,Paid Search,False,2,22911.0,2024-12-28
CUST-00012,Uğur Güneş,2024-07-07,2024-07-05,Sakarya,M,55+,Direct,True,0,0.0,
CUST-00013,Aslı Polat,2024-04-28,2024-04-14,Istanbul,F,35-44,Organic Search,False,3,11535.0,2025-03-05
CUST-00014,Onur Çetin,2024-09-08,2024-09-02,Izmir,M,18-24,Organic Search,True,0,0.0,
CUST-00015,Esra Sarı,2024-08-06,2024-08-01,Bursa,F,25-34,Paid Social,True,3,10365.0,2025-01-09
CUST-00016,Tuğçe Keskin,2024-09-06,2024-08-25,Kocaeli,F,18-24,Paid Search,False,0,0.0,
CUST-00017,Furkan Kaya,2024-04-23,2024-04-18,Gaziantep,M,35-44,Organic Search,False,3,16295.0,2025-03-27
CUST-00018,Serap Akgün,2024-05-07,2024-05-04,Istanbul,F,25-34,Paid Social,False,3,14695.0,2025-03-31
CUST-00019,Alperen Kurt,2024-02-16,2024-02-02,Sakarya,M,25-34,Paid Social,True,2,15163.0,2024-11-25
CUST-00020,Serap Yıldız,2024-10-12,2024-10-04,Trabzon,F,18-24,Organic Search,True,3,36364.0,2025-02-09
CUST-00021,Lale Aydın,2024-04-14,2024-04-10,Hatay,F,45-54,Paid Social,True,1,5865.0,2024-12-29
CUST-00022,Naz Güler,2024-05-09,2024-05-08,Istanbul,F,55+,Paid Search,False,1,3629.0,2024-12-28
CUST-00023,Murat Güler,2024-08-17,2024-08-11,Ankara,M,18-24,Paid Search,True,1,9067.0,2024-12-14
CUST-00024,Dilan Öztürk,2024-02-18,2024-02-06,Trabzon,F,35-44,Direct,False,1,3658.0,2025-03-17
CUST-00025,Büşra Yıldız,2024-12-13,2024-12-08,Istanbul,F,25-34,Organic Search,True,1,4528.0,2025-03-25
CUST-00026,Mehmet Erdoğan,2024-08-29,2024-08-18,Istanbul,M,35-44,Organic Search,True,0,0.0,
CUST-00027,Ahmet Çelik,2024-04-08,2024-04-05,Ankara,M,45-54,Direct,True,0,0.0,
CUST-00028,Merve Kaya,2024-02-21,2024-02-07,Denizli,F,35-44,Organic Search,True,2,4177.0,2025-02-13
CUST-00029,Derya Demir,2024-08-04,2024-08-02,Izmir,F,55+,Direct,True,4,16572.0,2025-02-03
CUST-00030,Mina Bozkurt,2024-03-15,2024-03-12,Istanbul,F,45-54,Paid Social,False,8,30768.0,2025-03-16
CUST-00031,Doruk Özkan,2024-08-28,2024-08-14,Istanbul,M,35-44,Organic Search,False,5,25846.0,2025-01-16
CUST-00032,Doruk Taş,2024-05-03,2024-04-21,Istanbul,M,25-34,Paid Social,True,0,0.0,
CUST-00033,Sibel Bulut,2024-06-27,2024-06-19,Istanbul,F,25-34,Organic Search,True,5,44149.0,2025-03-19
CUST-00034,Mert Kurt,2024-02-02,2024-01-26,Diyarbakir,M,25-34,Referral,True,3,23902.0,2025-02-10
CUST-00035,Kaan Başar,2024-04-17,2024-04-09,Erzurum,M,45-54,Organic Search,True,4,19012.0,2024-12-28
CUST-00036,Fatih Aktaş,2024-07-10,2024-06-27,Istanbul,M,18-24,Paid Social,True,1,909.0,2024-12-07
CUST-00037,Deniz Kaya,2024-12-28,2024-12-23,Bursa,F,55+,Direct,False,6,31911.0,2025-03-02
CUST-00038,Sibel Şimşek,2024-03-16,2024-03-16,Istanbul,F,18-24,Organic Search,True,3,22921.0,2025-02-26
CUST-00039,Can Tuncer,2024-04-28,2024-04-26,Istanbul,M,25-34,Paid Search,True,8,44294.0,2025-03-21
CUST-00040,Mehmet Özdemir,2024-11-06,2024-10-23,Istanbul,M,18-24,Paid Social,False,1,7147.0,2025-02-05
CUST-00041,Oğuz Toprak,2024-11-22,2024-11-13,Istanbul,M,18-24,Organic Search,False,2,14666.0,2025-01-23
CUST-00042,Gülşah Bulut,2024-11-13,2024-11-11,Bursa,F,35-44,Paid Search,True,5,19773.0,2025-02-05
CUST-00043,Aslı Başar,2024-10-29,2024-10-27,Kayseri,F,25-34,Organic Search,False,1,10157.0,2025-01-02
CUST-00044,Baran Ateş,2024-08-09,2024-07-28,Istanbul,M,55+,Direct,True,2,7573.0,2025-02-20
CUST-00045,Aykut Ateş,2024-02-18,2024-02-16,Istanbul,M,25-34,Paid Social,False,0,0.0,
CUST-00046,Alperen Başar,2024-12-08,2024-11-24,Istanbul,M,25-34,Organic Search,True,3,10703.0,2025-03-06
CUST-00047,Dilan Yıldırım,2024-12-01,2024-12-01,Kayseri,F,25-34,Referral,True,7,39743.0,2025-02-19
CUST-00048,Yağmur Bayrak,2024-09-14,2024-09-13,Samsun,F,45-54,Direct,True,7,33616.0,2025-03-27
CUST-00049,Murat Güler,2024-03-10,2024-02-26,Istanbul,M,18-24,Organic Search,False,1,2298.0,2024-11-17
CUST-00050,Ezgi Aktaş,2024-03-25,2024-03-24,Kocaeli,F,25-34,Organic Search,True,1,7547.0,2024-12-29
CUST-00051,Pelin Kaya,2024-07-23,2024-07-21,Izmir,F,35-44,Organic Search,False,0,0.0,
CUST-00052,Furkan Sönmez,2024-10-08,2024-09-24,Istanbul,M,35-44,Organic Search,False,6,47327.0,2025-02-05
CUST-00053,Enes Ateş,2024-10-04,2024-09-27,Ankara,M,18-24,Paid Social,False,0,0.0,
CUST-00054,Ceren Yıldırım,2024-01-09,2024-01-07,Elazig,F,35-44,Paid Social,False,1,4669.0,2024-12-26
CUST-00055,Kübra Bulut,2024-11-10,2024-11-09,Ankara,F,35-44,Paid Social,False,4,21599.0,2024-11-29
CUST-00056,Caner Demir,2024-05-22,2024-05-15,Manisa,M,25-34,Direct,False,8,55628.0,2024-12-12
CUST-00057,Hasan Başar,2024-07-04,2024-06-26,Eskisehir,M,25-34,Organic Search,False,4,12511.0,2025-03-07
CUST-00058,Seda Aksoy,2024-10-05,2024-09-22,Bursa,F,55+,Organic Search,False,6,55233.0,2025-02-18
CUST-00059,Pelin Demir,2024-10-03,2024-09-19,Bursa,F,25-34,Referral,False,6,38733.0,2025-03-31
CUST-00060,İrem Arslan,2024-04-29,2024-04-26,Izmir,F,18-24,Referral,True,1,17946.0,2024-12-02
CUST-00061,Levent Koç,2024-07-08,2024-06-24,Istanbul,M,45-54,Direct,True,2,11875.0,2024-12-16
CUST-00062,Seda Kaplan,2024-02-06,2024-01-26,Izmir,F,35-44,Paid Social,True,0,0.0,
CUST-00063,Fatih Keskin,2024-10-26,2024-10-25,Bursa,M,55+,Organic Search,False,5,37097.0,2025-03-24
CUST-00064,Didem Koç,2024-07-28,2024-07-21,Izmir,F,35-44,Organic Search,True,4,30508.0,2025-03-07
CUST-00065,Elif Erdoğan,2024-06-26,2024-06-23,Izmir,F,18-24,Organic Search,False,2,12065.0,2024-12-15
CUST-00066,Melis Şimşek,2024-06-03,2024-05-27,Gaziantep,F,45-54,Referral,False,0,0.0,
CUST-00067,Serap Güler,2024-06-20,2024-06-09,Konya,F,25-34,Organic Search,False,2,11043.0,2025-03-12
CUST-00068,Serap Bulut,2024-10-03,2024-09-28,Izmir,F,45-54,Organic Search,False,2,4487.0,2024-10-03
CUST-00069,Gül Taş,2024-10-03,2024-10-01,Manisa,F,18-24,Paid Search,False,8,35875.0,2025-01-21
CUST-00070,Zeynep Güneş,2024-12-11,2024-12-07,Izmir,F,25-34,Paid Social,True,3,14020.0,2025-02-13
CUST-00071,Kaan Güneş,2024-08-27,2024-08-20,Mugla,M,18-24,Direct,False,1,3538.0,2024-10-24
CUST-00072,Barış Duman,2024-12-07,2024-12-03,Istanbul,M,18-24,Paid Search,True,0,0.0,
CUST-00073,Tolga Uçar,2024-04-25,2024-04-22,Izmir,M,25-34,Organic Search,True,2,11546.0,2025-03-28
CUST-00074,Uğur Aydın,2024-11-15,2024-11-06,Istanbul,M,45-54,Direct,True,0,0.0,
CUST-00075,Ece Aktaş,2024-06-19,2024-06-15,Istanbul,F,25-34,Paid Social,True,7,23904.0,2025-03-19
CUST-00076,Ahmet Acar,2024-12-10,2024-11-27,Konya,M,25-34,Direct,False,2,10217.0,2024-12-25
CUST-00077,Uğur Şahin,2024-06-19,2024-06-09,Istanbul,M,25-34,Direct,True,2,18005.0,2025-02-22
CUST-00078,Ceren Özdemir,2024-09-28,2024-09-25,Denizli,F,45-54,Paid Search,True,0,0.0,
CUST-00079,Mina Aydın,2024-12-11,2024-12-01,Istanbul,F,25-34,Email,True,0,0.0,
CUST-00080,Orhan Toprak,2024-10-30,2024-10-27,Mersin,M,25-34,Direct,True,2,5857.0,2025-02-02
CUST-00081,Lale Bayrak,2024-09-23,2024-09-10,Konya,F,18-24,Direct,False,1,8067.0,2024-10-10
CUST-00082,Gül Duman,2024-06-05,2024-05-24,Erzurum,F,35-44,Email,True,2,17823.0,2024-12-24
CUST-00083,Tolga Bayrak,2024-05-07,2024-04-24,Samsun,M,25-34,Paid Social,False,3,17729.0,2025-02-20
CUST-00084,Hazal Öztürk,2024-08-15,2024-08-02,Antalya,F,35-44,Direct,True,2,20543.0,2025-03-12
